Country,Year,Food Types, Total Waste in Tons , Food Economic Loss (Million $) , Avg Waste per Capita (Kg) , Country Population (Million) (Not Accurate) , Household Waste (%) 
Australia,2019,Fruits & Vegetables," 19,269 "," 18,687 ", 73 , 88 , 54 
Indonesia,2019,Prepared Food," 3,917 "," 4,394 ", 193 ," 1,154 ", 31 
Germany,2022,Dairy Products," 9,700 "," 8,909 ", 167 ," 1,006 ", 48 
France,2023,Fruits & Vegetables," 46,300 "," 40,551 ", 120 , 953 , 32 
France,2023,Beverages," 33,097 "," 36,981 ", 105 ," 1,105 ", 36 
India,2024,Fruits & Vegetables," 11,963 "," 11,196 ", 136 ," 1,312 ", 37 
Germany,2024,Prepared Food," 45,039 "," 39,191 ", 179 ," 1,349 ", 69 
China,2019,Fruits & Vegetables," 12,791 "," 12,233 ", 91 ," 1,229 ", 60 
UK,2019,Meat & Seafood," 14,796 "," 14,347 ", 129 , 450 , 59 
India,2019,Grains & Cereals," 12,118 "," 13,631 ", 142 , 359 , 42 
South Africa,2024,Frozen Food," 39,479 "," 40,087 ", 156 , 376 , 31 
Japan,2022,Frozen Food," 41,026 "," 35,438 ", 50 ," 1,219 ", 34 
USA,2024,Beverages," 22,925 "," 22,406 ", 90 , 836 , 45 
France,2018,Beverages," 29,295 "," 34,102 ", 47 ," 1,287 ", 33 
USA,2022,Bakery Items," 32,458 "," 27,906 ", 47 , 866 , 46 
USA,2021,Meat & Seafood," 43,264 "," 44,778 ", 42 , 665 , 48 
Brazil,2021,Frozen Food," 23,131 "," 21,883 ", 51 , 853 , 50 
Saudi Arabia,2020,Prepared Food," 18,484 "," 21,072 ", 199 , 143 , 49 
UK,2022,Meat & Seafood," 25,830 "," 20,806 ", 120 , 185 , 33 
China,2018,Prepared Food," 11,314 "," 10,288 ", 112 , 954 , 34 
Saudi Arabia,2019,Fruits & Vegetables," 10,653 "," 8,992 ", 74 , 38 , 46 
Australia,2020,Fruits & Vegetables," 1,323 "," 1,394 ", 89 , 206 , 31 
India,2023,Meat & Seafood," 33,403 "," 39,125 ", 138 ," 1,299 ", 37 
Italy,2023,Fruits & Vegetables," 30,875 "," 31,342 ", 198 , 349 , 53 
Saudi Arabia,2024,Prepared Food," 33,086 "," 28,923 ", 38 , 552 , 39 
Germany,2018,Beverages," 12,336 "," 10,078 ", 39 , 689 , 37 
Brazil,2021,Bakery Items," 5,949 "," 6,656 ", 35 , 698 , 61 
France,2018,Frozen Food," 17,471 "," 16,267 ", 74 , 855 , 60 
Spain,2021,Fruits & Vegetables," 41,676 "," 43,058 ", 135 ," 1,326 ", 54 
Mexico,2018,Meat & Seafood," 20,604 "," 23,257 ", 32 , 412 , 68 
Argentina,2020,Bakery Items," 49,310 "," 49,521 ", 22 , 984 , 55 
Indonesia,2024,Frozen Food," 26,813 "," 28,028 ", 57 , 892 , 49 
Argentina,2022,Bakery Items," 17,869 "," 20,589 ", 83 , 898 , 55 
USA,2019,Bakery Items," 13,733 "," 15,130 ", 157 , 619 , 38 
Saudi Arabia,2019,Beverages," 29,828 "," 31,971 ", 103 ," 1,235 ", 67 
Canada,2021,Frozen Food," 28,802 "," 29,585 ", 190 , 688 , 34 
South Korea,2023,Frozen Food," 29,848 "," 27,362 ", 48 ," 1,132 ", 50 
Brazil,2024,Grains & Cereals," 39,421 "," 34,541 ", 66 , 514 , 56 
Brazil,2024,Prepared Food," 37,293 "," 35,268 ", 81 , 620 , 57 
Japan,2020,Beverages," 44,797 "," 41,234 ", 65 ," 1,235 ", 66 
Japan,2023,Bakery Items," 40,398 "," 48,104 ", 178 , 368 , 32 
Russia,2020,Dairy Products," 13,680 "," 14,250 ", 183 , 776 , 51 
China,2024,Frozen Food," 11,767 "," 11,890 ", 21 , 85 , 37 
Argentina,2021,Meat & Seafood," 24,444 "," 26,616 ", 124 , 304 , 61 
Russia,2019,Bakery Items," 15,477 "," 13,088 ", 177 ," 1,336 ", 37 
Saudi Arabia,2018,Frozen Food," 2,751 "," 2,311 ", 52 , 623 , 51 
Italy,2024,Fruits & Vegetables," 20,239 "," 18,396 ", 23 , 468 , 51 
USA,2022,Dairy Products," 8,732 "," 10,040 ", 64 , 543 , 43 
UK,2023,Grains & Cereals," 23,610 "," 25,521 ", 152 , 273 , 66 
South Korea,2024,Grains & Cereals," 38,428 "," 31,259 ", 93 , 952 , 41 
Germany,2023,Bakery Items," 33,550 "," 32,946 ", 194 ," 1,333 ", 55 
Australia,2020,Beverages," 45,244 "," 37,829 ", 47 , 560 , 50 
UK,2023,Meat & Seafood," 30,022 "," 24,487 ", 93 ," 1,278 ", 55 
Argentina,2019,Prepared Food," 49,482 "," 51,126 ", 95 ," 1,282 ", 59 
Australia,2022,Grains & Cereals," 13,314 "," 13,274 ", 141 , 183 , 41 
UK,2021,Frozen Food," 33,937 "," 31,083 ", 25 ," 1,235 ", 67 
Russia,2020,Prepared Food," 26,418 "," 24,820 ", 86 ," 1,257 ", 65 
Mexico,2021,Frozen Food," 25,204 "," 22,726 ", 66 ," 1,197 ", 61 
Japan,2022,Prepared Food," 3,891 "," 4,059 ", 184 , 160 , 44 
Canada,2024,Frozen Food," 29,008 "," 28,622 ", 35 ," 1,327 ", 57 
Mexico,2021,Meat & Seafood," 32,728 "," 37,447 ", 100 , 261 , 39 
Italy,2023,Dairy Products," 46,189 "," 42,352 ", 151 , 254 , 33 
Saudi Arabia,2024,Fruits & Vegetables," 1,105 "," 1,300 ", 135 , 906 , 38 
Mexico,2021,Prepared Food," 41,701 "," 42,630 ", 155 , 851 , 64 
Turkey,2022,Prepared Food," 11,485 "," 10,828 ", 196 , 39 , 63 
Indonesia,2021,Beverages," 23,044 "," 22,715 ", 168 , 477 , 56 
Turkey,2024,Frozen Food," 49,640 "," 43,002 ", 148 ," 1,200 ", 66 
Japan,2019,Frozen Food," 47,374 "," 50,237 ", 123 ," 1,333 ", 57 
China,2021,Dairy Products," 16,464 "," 18,670 ", 38 ," 1,185 ", 48 
Germany,2024,Fruits & Vegetables," 26,112 "," 21,589 ", 169 ," 1,172 ", 50 
Turkey,2022,Grains & Cereals," 29,147 "," 33,954 ", 131 ," 1,318 ", 45 
Saudi Arabia,2023,Dairy Products," 12,894 "," 13,051 ", 160 , 419 , 47 
Italy,2018,Fruits & Vegetables," 24,354 "," 26,604 ", 188 , 430 , 31 
Germany,2023,Prepared Food," 46,296 "," 45,513 ", 53 , 755 , 34 
Indonesia,2023,Prepared Food," 35,998 "," 32,228 ", 70 , 672 , 48 
India,2024,Bakery Items," 19,941 "," 16,685 ", 69 ," 1,247 ", 55 
Mexico,2019,Dairy Products," 20,682 "," 18,331 ", 76 , 790 , 67 
India,2024,Beverages," 25,894 "," 23,584 ", 86 ," 1,318 ", 64 
Japan,2024,Grains & Cereals," 6,207 "," 5,227 ", 109 ," 1,304 ", 63 
UK,2023,Prepared Food," 6,159 "," 5,345 ", 53 , 271 , 39 
South Korea,2018,Dairy Products," 2,995 "," 3,248 ", 47 , 592 , 49 
Indonesia,2018,Frozen Food," 22,228 "," 24,684 ", 186 , 378 , 34 
South Korea,2021,Grains & Cereals," 37,913 "," 31,508 ", 148 ," 1,208 ", 63 
France,2023,Prepared Food," 45,217 "," 53,292 ", 199 ," 1,258 ", 67 
Saudi Arabia,2020,Meat & Seafood," 6,000 "," 6,336 ", 120 , 937 , 47 
China,2019,Grains & Cereals," 11,700 "," 13,227 ", 139 , 143 , 54 
Saudi Arabia,2021,Prepared Food," 34,919 "," 40,964 ", 197 , 343 , 35 
UK,2023,Beverages," 37,271 "," 43,999 ", 148 , 460 , 41 
Spain,2018,Beverages," 30,435 "," 28,495 ", 131 , 876 , 40 
Canada,2021,Beverages," 29,977 "," 30,215 ", 93 , 330 , 46 
Indonesia,2024,Meat & Seafood," 41,625 "," 42,884 ", 88 , 674 , 45 
France,2022,Fruits & Vegetables," 23,627 "," 24,156 ", 198 , 745 , 67 
Germany,2022,Beverages," 48,457 "," 42,311 ", 192 , 370 , 58 
Italy,2023,Beverages," 11,714 "," 10,116 ", 103 , 919 , 31 
Australia,2023,Beverages," 3,629 "," 4,199 ", 101 , 655 , 59 
Saudi Arabia,2020,Frozen Food," 5,523 "," 4,526 ", 180 , 425 , 33 
UK,2019,Frozen Food," 5,223 "," 5,147 ", 39 ," 1,389 ", 61 
India,2018,Prepared Food," 24,859 "," 21,034 ", 156 ," 1,057 ", 58 
Mexico,2018,Meat & Seafood," 49,003 "," 39,734 ", 69 ," 1,280 ", 67 
Brazil,2022,Fruits & Vegetables," 37,440 "," 33,828 ", 94 , 953 , 46 
Brazil,2023,Bakery Items," 30,854 "," 28,374 ", 115 , 748 , 52 
Italy,2024,Meat & Seafood," 46,853 "," 55,387 ", 139 , 25 , 63 
