Country,Year,Food Types, Total Waste in Tons , Food Economic Loss (Million $) , Avg Waste per Capita (Kg) , Country Population (Million) (Not Accurate) , Household Waste (%) ,Cluster
Australia,2019,Fruits & Vegetables,19269.0,18687.0,73.0, 88 ,54.0,0
Indonesia,2019,Prepared Food,3917.0,4394.0,193.0," 1,154 ",31.0,0
Germany,2022,Dairy Products,9700.0,8909.0,167.0," 1,006 ",48.0,0
France,2023,Fruits & Vegetables,46300.0,40551.0,120.0, 953 ,32.0,1
France,2023,Beverages,33097.0,36981.0,105.0," 1,105 ",36.0,1
India,2024,Fruits & Vegetables,11963.0,11196.0,136.0," 1,312 ",37.0,0
Germany,2024,Prepared Food,45039.0,39191.0,179.0," 1,349 ",69.0,1
China,2019,Fruits & Vegetables,12791.0,12233.0,91.0," 1,229 ",60.0,0
UK,2019,Meat & Seafood,14796.0,14347.0,129.0, 450 ,59.0,0
India,2019,Grains & Cereals,12118.0,13631.0,142.0, 359 ,42.0,0
South Africa,2024,Frozen Food,39479.0,40087.0,156.0, 376 ,31.0,1
Japan,2022,Frozen Food,41026.0,35438.0,50.0," 1,219 ",34.0,1
USA,2024,Beverages,22925.0,22406.0,90.0, 836 ,45.0,0
France,2018,Beverages,29295.0,34102.0,47.0," 1,287 ",33.0,1
USA,2022,Bakery Items,32458.0,27906.0,47.0, 866 ,46.0,1
USA,2021,Meat & Seafood,43264.0,44778.0,42.0, 665 ,48.0,1
Brazil,2021,Frozen Food,23131.0,21883.0,51.0, 853 ,50.0,0
Saudi Arabia,2020,Prepared Food,18484.0,21072.0,199.0, 143 ,49.0,0
UK,2022,Meat & Seafood,25830.0,20806.0,120.0, 185 ,33.0,0
China,2018,Prepared Food,11314.0,10288.0,112.0, 954 ,34.0,0
Saudi Arabia,2019,Fruits & Vegetables,10653.0,8992.0,74.0, 38 ,46.0,0
Australia,2020,Fruits & Vegetables,1323.0,1394.0,89.0, 206 ,31.0,0
India,2023,Meat & Seafood,33403.0,39125.0,138.0," 1,299 ",37.0,1
Italy,2023,Fruits & Vegetables,30875.0,31342.0,198.0, 349 ,53.0,1
Saudi Arabia,2024,Prepared Food,33086.0,28923.0,38.0, 552 ,39.0,1
Germany,2018,Beverages,12336.0,10078.0,39.0, 689 ,37.0,0
Brazil,2021,Bakery Items,5949.0,6656.0,35.0, 698 ,61.0,0
France,2018,Frozen Food,17471.0,16267.0,74.0, 855 ,60.0,0
Spain,2021,Fruits & Vegetables,41676.0,43058.0,135.0," 1,326 ",54.0,1
Mexico,2018,Meat & Seafood,20604.0,23257.0,32.0, 412 ,68.0,0
Argentina,2020,Bakery Items,49310.0,49521.0,22.0, 984 ,55.0,1
Indonesia,2024,Frozen Food,26813.0,28028.0,57.0, 892 ,49.0,1
Argentina,2022,Bakery Items,17869.0,20589.0,83.0, 898 ,55.0,0
USA,2019,Bakery Items,13733.0,15130.0,157.0, 619 ,38.0,0
Saudi Arabia,2019,Beverages,29828.0,31971.0,103.0," 1,235 ",67.0,1
Canada,2021,Frozen Food,28802.0,29585.0,190.0, 688 ,34.0,1
South Korea,2023,Frozen Food,29848.0,27362.0,48.0," 1,132 ",50.0,1
Brazil,2024,Grains & Cereals,39421.0,34541.0,66.0, 514 ,56.0,1
Brazil,2024,Prepared Food,37293.0,35268.0,81.0, 620 ,57.0,1
Japan,2020,Beverages,44797.0,41234.0,65.0," 1,235 ",66.0,1
Japan,2023,Bakery Items,40398.0,48104.0,178.0, 368 ,32.0,1
Russia,2020,Dairy Products,13680.0,14250.0,183.0, 776 ,51.0,0
China,2024,Frozen Food,11767.0,11890.0,21.0, 85 ,37.0,0
Argentina,2021,Meat & Seafood,24444.0,26616.0,124.0, 304 ,61.0,1
Russia,2019,Bakery Items,15477.0,13088.0,177.0," 1,336 ",37.0,0
Saudi Arabia,2018,Frozen Food,2751.0,2311.0,52.0, 623 ,51.0,0
Italy,2024,Fruits & Vegetables,20239.0,18396.0,23.0, 468 ,51.0,0
USA,2022,Dairy Products,8732.0,10040.0,64.0, 543 ,43.0,0
UK,2023,Grains & Cereals,23610.0,25521.0,152.0, 273 ,66.0,0
South Korea,2024,Grains & Cereals,38428.0,31259.0,93.0, 952 ,41.0,1
Germany,2023,Bakery Items,33550.0,32946.0,194.0," 1,333 ",55.0,1
Australia,2020,Beverages,45244.0,37829.0,47.0, 560 ,50.0,1
UK,2023,Meat & Seafood,30022.0,24487.0,93.0," 1,278 ",55.0,1
Argentina,2019,Prepared Food,49482.0,51126.0,95.0," 1,282 ",59.0,1
Australia,2022,Grains & Cereals,13314.0,13274.0,141.0, 183 ,41.0,0
UK,2021,Frozen Food,33937.0,31083.0,25.0," 1,235 ",67.0,1
Russia,2020,Prepared Food,26418.0,24820.0,86.0," 1,257 ",65.0,1
Mexico,2021,Frozen Food,25204.0,22726.0,66.0," 1,197 ",61.0,0
Japan,2022,Prepared Food,3891.0,4059.0,184.0, 160 ,44.0,0
Canada,2024,Frozen Food,29008.0,28622.0,35.0," 1,327 ",57.0,1
Mexico,2021,Meat & Seafood,32728.0,37447.0,100.0, 261 ,39.0,1
Italy,2023,Dairy Products,46189.0,42352.0,151.0, 254 ,33.0,1
Saudi Arabia,2024,Fruits & Vegetables,1105.0,1300.0,135.0, 906 ,38.0,0
Mexico,2021,Prepared Food,41701.0,42630.0,155.0, 851 ,64.0,1
Turkey,2022,Prepared Food,11485.0,10828.0,196.0, 39 ,63.0,0
Indonesia,2021,Beverages,23044.0,22715.0,168.0, 477 ,56.0,0
Turkey,2024,Frozen Food,49640.0,43002.0,148.0," 1,200 ",66.0,1
Japan,2019,Frozen Food,47374.0,50237.0,123.0," 1,333 ",57.0,1
China,2021,Dairy Products,16464.0,18670.0,38.0," 1,185 ",48.0,0
Germany,2024,Fruits & Vegetables,26112.0,21589.0,169.0," 1,172 ",50.0,0
Turkey,2022,Grains & Cereals,29147.0,33954.0,131.0," 1,318 ",45.0,1
Saudi Arabia,2023,Dairy Products,12894.0,13051.0,160.0, 419 ,47.0,0
Italy,2018,Fruits & Vegetables,24354.0,26604.0,188.0, 430 ,31.0,1
Germany,2023,Prepared Food,46296.0,45513.0,53.0, 755 ,34.0,1
Indonesia,2023,Prepared Food,35998.0,32228.0,70.0, 672 ,48.0,1
India,2024,Bakery Items,19941.0,16685.0,69.0," 1,247 ",55.0,0
Mexico,2019,Dairy Products,20682.0,18331.0,76.0, 790 ,67.0,0
India,2024,Beverages,25894.0,23584.0,86.0," 1,318 ",64.0,0
Japan,2024,Grains & Cereals,6207.0,5227.0,109.0," 1,304 ",63.0,0
UK,2023,Prepared Food,6159.0,5345.0,53.0, 271 ,39.0,0
South Korea,2018,Dairy Products,2995.0,3248.0,47.0, 592 ,49.0,0
Indonesia,2018,Frozen Food,22228.0,24684.0,186.0, 378 ,34.0,0
South Korea,2021,Grains & Cereals,37913.0,31508.0,148.0," 1,208 ",63.0,1
France,2023,Prepared Food,45217.0,53292.0,199.0," 1,258 ",67.0,1
Saudi Arabia,2020,Meat & Seafood,6000.0,6336.0,120.0, 937 ,47.0,0
China,2019,Grains & Cereals,11700.0,13227.0,139.0, 143 ,54.0,0
Saudi Arabia,2021,Prepared Food,34919.0,40964.0,197.0, 343 ,35.0,1
UK,2023,Beverages,37271.0,43999.0,148.0, 460 ,41.0,1
Spain,2018,Beverages,30435.0,28495.0,131.0, 876 ,40.0,1
Canada,2021,Beverages,29977.0,30215.0,93.0, 330 ,46.0,1
Indonesia,2024,Meat & Seafood,41625.0,42884.0,88.0, 674 ,45.0,1
France,2022,Fruits & Vegetables,23627.0,24156.0,198.0, 745 ,67.0,0
Germany,2022,Beverages,48457.0,42311.0,192.0, 370 ,58.0,1
Italy,2023,Beverages,11714.0,10116.0,103.0, 919 ,31.0,0
Australia,2023,Beverages,3629.0,4199.0,101.0, 655 ,59.0,0
Saudi Arabia,2020,Frozen Food,5523.0,4526.0,180.0, 425 ,33.0,0
UK,2019,Frozen Food,5223.0,5147.0,39.0," 1,389 ",61.0,0
India,2018,Prepared Food,24859.0,21034.0,156.0," 1,057 ",58.0,0
Mexico,2018,Meat & Seafood,49003.0,39734.0,69.0," 1,280 ",67.0,1
Brazil,2022,Fruits & Vegetables,37440.0,33828.0,94.0, 953 ,46.0,1
Brazil,2023,Bakery Items,30854.0,28374.0,115.0, 748 ,52.0,1
Italy,2024,Meat & Seafood,46853.0,55387.0,139.0, 25 ,63.0,1
Saudi Arabia,2022,Meat & Seafood,11319.0,12341.0,64.0," 1,018 ",69.0,0
Turkey,2021,Beverages,40184.0,39106.0,152.0, 377 ,54.0,1
Japan,2023,Fruits & Vegetables,2193.0,2460.0,181.0, 706 ,58.0,0
Argentina,2023,Frozen Food,27521.0,25452.0,176.0," 1,116 ",51.0,1
Argentina,2021,Grains & Cereals,33487.0,37702.0,86.0," 1,026 ",31.0,1
USA,2024,Prepared Food,35924.0,30005.0,193.0," 1,109 ",42.0,1
Argentina,2019,Meat & Seafood,43465.0,42743.0,129.0, 890 ,45.0,1
Spain,2024,Meat & Seafood,33791.0,31480.0,66.0, 219 ,30.0,1
Indonesia,2023,Meat & Seafood,48216.0,51594.0,151.0, 353 ,57.0,1
France,2024,Frozen Food,1314.0,1333.0,129.0," 1,083 ",41.0,0
Brazil,2018,Dairy Products,21847.0,20986.0,85.0, 846 ,35.0,0
Saudi Arabia,2024,Prepared Food,37051.0,38365.0,196.0, 117 ,68.0,1
France,2020,Beverages,41479.0,45052.0,157.0, 54 ,40.0,1
France,2020,Bakery Items,24927.0,21790.0,49.0, 597 ,63.0,0
Argentina,2020,Fruits & Vegetables,48169.0,53899.0,60.0," 1,231 ",32.0,1
Brazil,2023,Prepared Food,16973.0,14321.0,99.0, 165 ,34.0,0
Spain,2023,Dairy Products,13937.0,15512.0,108.0, 28 ,41.0,0
Germany,2019,Beverages,23004.0,19818.0,77.0, 200 ,48.0,0
